,index,population_density,median_age,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index,Asthma Prevalence (m/f) Age-standardized,PM2.5 air pollution,Daily smoking prevalence ,Prevalence of obesity (both sexes) - WHO (2019),CFR,anomaly
122,166,208.354,36.2,5.586,26382.287,242.648,10.55,3.6,73.4,0.797,5.09638147,14.838850099999998,15.7,14.0,0.0,1
124,171,102.619,44.5,12.93,31400.84,153.493,7.25,4.5,81.32,0.8959999999999999,4.520237165,17.82350883,22.200001,20.2,0.03866580187680672,1
125,173,46.754,27.3,3.053,12294.876,200.38,5.52,2.32,64.13,0.6990000000000001,2.236788899,35.91247747,14.9,28.3,0.023687288258198085,1
127,176,93.105,45.5,13.799000000000001,34272.36,99.40299999999999,7.17,2.97,83.56,0.8909999999999999,5.239478587,9.960824015,24.700001,23.8,0.05252625222844875,1
128,177,341.955,34.1,5.331,11669.077,197.093,10.68,3.6,76.98,0.77,5.276127604,25.63520757,12.0,5.2,0.0038007587943450142,1
129,179,3.612,29.6,4.229,13767.118999999999,258.314,12.54,3.1,71.68,0.72,7.900959948,21.53247349,6.0999999,26.4,0.02077289716870805,1
130,180,79.492,21.5,1.845,7738.975,333.436,3.94,2.1,60.19,0.588,4.151565239,24.15181545,7.3000002,16.5,0.01962359021726707,1
131,181,24.718000000000004,41.0,13.433,46949.282999999996,133.982,4.79,2.22,82.8,0.9329999999999999,8.56940251,5.195282483,13.6,20.6,0.06778898226482177,1
132,182,214.243,43.1,12.644,57410.166,99.73899999999999,5.59,4.53,83.78,0.9440000000000001,6.1761920660000005,10.51208667,19.799999,19.5,0.03806859395562122,1
133,185,64.281,23.3,2.155,2896.913,427.69800000000004,7.11,4.8,71.1,0.65,3.296318513,61.35430442,15.7,14.2,0.008054552011557413,1
134,186,64.699,17.7,1.874,2683.304,217.28799999999998,5.75,0.7,65.46,0.5379999999999999,5.51610249,22.34930727,9.3000002,8.4,0.04130970543363455,1
135,187,135.132,40.1,6.89,16277.671,109.861,7.04,2.1,77.15,0.755,5.35556729,23.172589600000002,19.700001,10.0,0.016759100534435818,1
136,188,87.176,18.0,1.8969999999999998,6570.102,335.346,6.86,5.9,69.5,0.625,4.585157058,17.000533899999997,30.0,3.8,0.0,1
137,189,143.366,19.4,1.525,1429.8129999999999,280.033,6.15,0.7,61.04,0.503,3.6760228919999998,84.14439034,6.1999998,8.4,0.024071400870427025,1
138,190,266.88599999999997,36.2,5.819,28763.071,228.467,10.97,3.0,73.51,0.784,8.303332078,16.81227296,17.6,18.6,0.015937492867680165,1
139,191,74.22800000000001,32.7,5.075,10849.296999999999,318.991,8.52,2.3,76.7,0.735,4.829196608,35.56567907,24.5,26.9,0.016831796563717503,1
